"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Lilium martagon L.";"Lis martagon";"Lilium martagon L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"105989"
"";"Lindernia procumbens (Krocker) Philcox";"Lindernie rampante";"Lindernia procumbens (Krock.) Philcox, 1965";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"106258"
"";"Linum austriacum L. ssp. collinum Nyman";"Lin d'Autriche";"Linum provinciale Jord., 1849";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"987988"
"";"Listera cordata (L.) R. Br.";"Listère à feuilles en cœur";"Neottia cordata (L.) Rich., 1817";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"109503"
"";"Lupinus angustifolius L. ssp. reticulatus (Desv.) Coutinho";"Lupin réticulé";"Lupinus angustifolius L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"106766"
"";"Luzula luzulina (Vill.) Dala Tore & Sarnth.";"Luzule jaunâtre";"Luzula luzulina (Vill.) Racib., 1888";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"106839"
"";"Lycopodium annotinum L.";"Lycopode à feuilles de genévrier";"Spinulum annotinum (L.) A.Haines, 2003 subsp. annotinum";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"939840"
"";"Lycopodium annotinum L.";"Lycopode à feuilles de genévrier";"Spinulum annotinum (L.) A.Haines, 2003";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"719157"
"";"Meconopsis cambrica (L.) Vig.";"Pavot jaune";"Papaver cambricum L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"112293"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra nothosubsp. delphineae (M.Gerbaud & O.Gerbaud) B.Bock, 2012";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612483"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra nothosubsp. eggeriana (O.Gerbaud) B.Bock, 2012";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612480"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra subsp. austriaca (Teppner & E.Klein) Teppner & E.Klein, 1998";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612485"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra subsp. cenisia (G.Foelsche, W.Foelsche, M.Gerbaud & O.Gerbaud) J.-M.Tison, 2010";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612484"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra subsp. corneliana (Beauverd) J.-M.Tison, 2010";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612479"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra subsp. gabasiana (Teppner & E.Klein) J.-M.Tison, 2010";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612481"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra subsp. rhellicani (Teppner & E.Klein) J.-M.Tison, 2010";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612482"
"";"Nigritella nigra (L.) Reichenb. fil.";"Orchis vanille";"Gymnadenia nigra (L.) Rchb.f., 1856";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"100613"
"";"Ononis pusilla L.";"Bugrane nain";"Ononis pusilla L., 1759 subsp. pusilla";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"923255"
